"","FollowNumber","Name","Age","Sex","DiversityScore"
"1",6577,"walimah",7,"F",0.903246386193771
"2",4502,"walimah",2,"F",1.50986860356318
"3",4280,"walimah",2,"F",1.83331892620494
"4",3750,"walimah",2,"F",1.70909494695347
"5",3238,"walimah",1,"F",2.20669858462241
"6",3581,"walimah",2,"F",1.6111339951523
"7",3570,"walimah",2,"F",1.59720449530134
"8",3594,"walimah",2,"F",1.92498734363789
"9",4233,"walimah",2,"F",1.28229832934829
"10",3984,"walimah",2,"F",1.83548280900621
"11",3598,"walimah",2,"F",1.87945710134717
"12",6799,"walimah",7,"F",1.1045521998104
"13",3192,"walimah",1,"F",2.3754893412973
"14",3564,"walimah",2,"F",1.7388919949016
"15",3836,"walimah",2,"F",1.9549269019809
"16",3943,"walimah",2,"F",2.03630242338974
"17",3834,"walimah",2,"F",1.76309224922747
"18",3802,"walimah",2,"F",1.82055792448028
"19",3820,"walimah",2,"F",1.66075472124281
"20",4262,"walimah",2,"F",1.95925841532215
"21",3617,"walimah",2,"F",2.05023653537299
"22",4177,"walimah",2,"F",2.25593570595203
"23",3592,"walimah",2,"F",2.04933740621608
"24",4182,"walimah",2,"F",1.74743076320161
"25",5344,"walimah",6,"F",1.50307444662048
"26",3607,"walimah",2,"F",1.91956721917617
"27",3235,"walimah",1,"F",1.65386096392455
"28",3988,"walimah",2,"F",2.26712798097008
"29",4479,"walimah",2,"F",1.97441423759477
"30",3232,"walimah",1,"F",1.57384411436218
"31",3352,"walimah",1,"F",1.68748337652292
"32",3981,"walimah",2,"F",1.85411140461766
"33",3807,"walimah",2,"F",2.05140977438332
"34",3534,"walimah",2,"F",1.51753877982251
"35",3791,"walimah",2,"F",2.00234244974081
"36",3614,"walimah",2,"F",0.815018216394082
"37",3788,"walimah",2,"F",2.2899491766772
"38",6627,"walimah",7,"F",1.70680932847605
"39",6630,"walimah",7,"F",1.56256640691513
"40",7135,"walimah",7,"F",1.31002575814239
"41",3601,"walimah",2,"F",2.17572829912872
"42",3830,"walimah",2,"F",2.06006467688353
"43",3918,"walimah",2,"F",1.45920739066753
"44",3279,"walimah",1,"F",2.15591450294233
"45",3418,"walimah",1,"F",1.66258869466781
"46",3163,"walimah",1,"F",1.8015749716512
"47",3272,"walimah",1,"F",2.08210061852545
"48",4726,"walimah",6,"F",1.5104508651609
"49",3453,"walimah",1,"F",1.81471432129308
"50",3579,"walimah",2,"F",1.7297117567514
"51",7436,"walimah",7,"F",1.4576913363914
"52",3610,"walimah",2,"F",2.21924905161955
"53",4739,"walimah",6,"F",1.46955033267656
"54",4852,"walimah",6,"F",1.96975725405464
"55",3784,"walimah",2,"F",1.86443608348592
"56",3251,"walimah",1,"F",2.17297214141388
"57",3567,"walimah",2,"F",1.8431829927495
"58",3584,"walimah",2,"F",2.40629096349088
"59",3793,"walimah",2,"F",1.9556996234001
"60",3367,"walimah",1,"F",2.46915978299502
"61",4507,"walimah",2,"F",1.71309279956228
"62",3799,"walimah",2,"F",1.93248336807453
"63",6529,"walimah",7,"F",1.7775511420235
"64",3552,"walimah",2,"F",1.59657684751058
"65",6837,"walimah",7,"F",1.5602697715085
"66",3590,"walimah",2,"F",2.36198917044682
"67",6642,"walimah",7,"F",1.66055706509946
"68",4855,"walimah",6,"F",1.97258970661228
"69",4311,"walimah",2,"F",1.85599086347888
"70",5322,"walimah",6,"F",1.60136747954689
"71",3604,"walimah",2,"F",2.06082611598164
"72",3344,"walimah",1,"F",2.05015400147304
"73",6841,"walimah",7,"F",1.59954684511276
"74",3180,"walimah",1,"F",1.8886809132393
"75",3923,"walimah",2,"F",1.65101978886789
"76",7345,"walimah",7,"F",1.16555006071765
"77",3782,"walimah",2,"F",2.40492539675243
"78",4536,"walimah",2,"F",1.59114893738724
"79",3282,"walimah",1,"F",1.45107460623527
"80",3668,"walimah",2,"F",1.73398808453479
"81",6579,"walimah",7,"F",1.58309818625881
"82",7126,"walimah",7,"F",2.21764174374269
"83",7224,"walimah",7,"F",1.61140111715973
"84",6844,"walimah",7,"F",1.43623247176242
"85",3455,"walimah",2,"F",1.8691470995574
"86",6815,"walimah",7,"F",1.63150458919893
"87",7370,"walimah",7,"F",1.63353847379658
"88",3457,"walimah",2,"F",2.53041981413121
"89",4448,"walimah",2,"F",2.10924033600394
"90",6842,"walimah",7,"F",0.948708489664173
"91",3689,"walimah",2,"F",1.74436785828383
"92",3786,"walimah",2,"F",2.09092483607887
"93",4424,"walimah",2,"F",2.29948413819485
"94",7714,"walimah",7,"F",1.67668476007446
"95",4265,"walimah",2,"F",2.00996565816264
"96",4230,"walimah",2,"F",2.19266914593967
"97",3348,"walimah",1,"F",2.37968708740458
"98",3797,"walimah",2,"F",1.39183729721073
"99",6810,"walimah",7,"F",1.6778665621556
"100",6840,"walimah",7,"F",1.13313457595975
"101",3275,"walimah",1,"F",1.69268573183114
"102",3514,"walimah",2,"F",1.71896673887484
"103",7389,"walimah",7,"F",1.45963922737926
"104",3164,"walimah",1,"F",1.78158337826219
"105",3360,"walimah",1,"F",2.50704893053885
"106",3459,"walimah",2,"F",1.58787769495227
"107",3510,"walimah",2,"F",2.03347113713086
"108",3742,"walimah",2,"F",1.84067727754852
"109",4434,"walimah",2,"F",2.06495727235666
"110",3427,"walimah",1,"F",1.84896227157396
"111",3441,"walimah",1,"F",1.91551243700964
"112",6939,"walimah",7,"F",1.75735025588626
"113",7139,"walimah",7,"F",1.09664166734122
