"","Follow Number","Name","Minutes awake","Age","Age class lookup","TravelHangBranchs","EatHangGrounds","RestHangGrounds","RestBipedalIbus","TravelSlowClamberNests","EatSitIbus","TravelTreeSwayTrunks","EatQuadBranchs","RestHangNests","TravelBrachiateGrounds","EatLieDownBranchs","RestBipedalGrounds","RestBipedalTrunks","TravelSlowClamberGrounds","TravelQuadBranchs","RestBipedalNests","RestSitTrunks","EatBipedalTrunks","TravelBrachiateLianas","RestSitGrounds","RestSitIbus","EatSitGrounds","TravelSlowClamberTrunks","PlayHangIbu","RestQuadIbus","EatSitTrunks","RestQuadBranchs","RestBipedalLianas","EatHangIbus","TravelQuadGrounds","PlayBipedalBranch","EatSitNests","RestBipedalCrotchs","RestHangTrunks","RestLieDownNests","EatBipedalLianas","EatBipedalCrotchs","TravelSlowClamberLianas","EatHangTrunks","TravelSlowClamberCrotchs","PlaySitCrotch","PlayHangCrotch","RestHangCrotchs","PlayHangLiana","TravelTreeSwayBranchs","PlaySitBranch","RestHangLianas","RestSitLianas","RestBipedalBranchs","ClingHangIbus","RestLieDownBranchs","RestLieDownCrotchs","EatHangLianas","EatSitLianas","PlayHangBranch","EatBipedalBranchs","RestHangBranchs","RestHangIbus","EatHangBranchs","TravelSlowClamberBranchs","RestSitBranchs","PlayBrachiateBL","PlayQuadrupedalBCLINT","PlayHangGNT","TravelBrachiateNT","PlaySlowClamberBCLT","TravelTreeSwayCGLN","PlayLieDownBCLINT","EatBipedalGIN","TravelQuadCLNT","TravelBipedalBCGLNT","EatQuadCGILT","PlayBipedalCILNT","EatLieDownCGILNT","PlaySitILNT","RestLieDownGILT","RestQuadCGLNT"
"1",6577,"Walimah",634,"7","adult female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157728706624606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481072555205047,0,0.00157728706624606,0,0,0,0,0.00157728706624606,0.00315457413249211,0,0,0,0.0717665615141956,0,0.962145110410095,0.0465299684542587,0.141955835962145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2663,"Misha",655,"5","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000763358778625954,0,0,0,0,0,0,0,0,0.00152671755725191,0.00152671755725191,0.00305343511450382,0,0,0,0.0152671755725191,0,0,0,0.00458015267175573,0,0.569465648854962,0.0922391857506361,0.281806615776081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",4502,"Walimah",655,"2","infant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152671755725191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610687022900763,0,0.00458015267175573,0,0,0.00152671755725191,0.0213740458015267,0,0,0,0,0.105343511450382,0,0.0312977099236641,0.033587786259542,0.484732824427481,0.033587786259542,0.083969465648855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",655,"Misha",646,"3","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139318885448916,0,0.00154798761609907,0,0,0,0,0,0,0,0,0.00309597523219814,0,0.0139318885448916,0.00154798761609907,0,0,0.0232198142414861,0.0263157894736842,0,0.0464396284829721,0.0232198142414861,0,0.479102167182663,0.0735294117647059,0.0278637770897833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1326,"Roman",490,"7","flanged male",0,0,0,0,0,0,0,0.00204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102040816326531,0,0,0,0,0,0,0,0,0,0,0.00612244897959184,0,0,0,0,0,0,0,0,0,0.00204081632653061,0.00306122448979592,0,0.0204081632653061,0,0.0142857142857143,0,0,0.0510204081632653,0.00612244897959184,0,0.587755102040816,0.0448979591836735,0.198979591836735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2560,"Misha",599,"5","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166944908180301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00918196994991653,0.013355592654424,0.0175292153589316,0,0,0,0,0,0,0.01669449081803,0.0242070116861436,0,0.479131886477462,0.0333889816360601,0.0909849749582638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",4064,"Misha",678,"6","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368731563421829,0,0,0,0,0,0,0.00737463126843658,0,0,0.00589970501474926,0.00147492625368732,0.0427728613569322,0.00221238938053097,0,0,0.051622418879056,0,0,0,0.00147492625368732,0,0,0,0,0,0.023598820058997,0,0,0,0.0774336283185841,0,0.414454277286136,0.0855457227138643,0.0250737463126844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2459,"Misha",690,"5","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00797101449275362,0.00144927536231884,0,0,0,0,0,0,0,0,0,0.00144927536231884,0,0,0,0,0,0,0,0,0.0152173913043478,0.00289855072463768,0.0195652173913043,0,0.00144927536231884,0,0.247826086956522,0.0260869565217391,0,0,0.0231884057971014,0,0.401449275362319,0.0485507246376812,0.144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2555,"Misha",735,"5","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158730158730159,0.019047619047619,0,0,0,0,0,0,0,0,0.0204081632653061,0.0360544217687075,0,0.00952380952380952,0,0,0,0,0,0,0.0183673469387755,0.00136054421768707,0.00272108843537415,0,0,0,0.0285714285714286,0.0299319727891156,0,0.0816326530612245,0.00884353741496599,0,0.366666666666667,0.0297052154195011,0.0163265306122449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00136054421768707
"10",3393,"Misha",435,"5","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00229885057471264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035632183908046,0.128735632183908,0,0,0,0,0.106896551724138,0.0114942528735632,0,0,0.035632183908046,0,0.58735632183908,0.0436781609195402,0.24367816091954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",4280,"Walimah",731,"2","infant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027359781121751,0.00683994528043776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287277701778386,0,0,0.00957592339261286,0.00820793433652531,0.0177838577291382,0,0,0,0,0,0.135430916552668,0.0164158686730506,0.180574555403557,0,0.325581395348837,0.0711354309165527,0.156634746922025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",3390,"Roman",616,"7","flanged male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000811688311688312,0,0.00243506493506494,0,0,0,0,0,0,0,0.00730519480519481,0,0,0,0.00324675324675325,0,0,0,0,0.012987012987013,0,0,0,0,0,0,0,0.00568181818181818,0.00487012987012987,0.0137987012987013,0,0,0,0,0,0,0,0.0113636363636364,0,0.372564935064935,0.0608766233766234,0.232142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00405844155844156
"13",5534,"Betsy",663,"5","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00226244343891403,0,0.00301659125188537,0,0,0,0.0150829562594268,0,0,0,0,0,0.0143288084464555,0,0.343891402714932,0.0369532428355958,0.136500754147813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",5056,"Betsy",670,"4","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149253731343284,0,0,0,0,0,0.0447761194029851,0,0,0.0716417910447761,0.0223880597014925,0,0,0.335820895522388,0.063681592039801,0.197512437810945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2553,"Misha",643,"5","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00777604976671851,0,0,0,0,0,0,0,0,0,0,0.0015552099533437,0,0,0,0,0,0,0,0,0.0116640746500778,0.0108864696734059,0.0108864696734059,0,0,0,0.00777604976671851,0,0,0,0.0303265940902022,0,0.337480559875583,0.0373250388802488,0.0692068429237947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233281493001555,0
"16",2549,"Misha",807,"5","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000619578686493185,0,0,0,0,0,0,0,0.00371747211895911,0,0,0,0,0,0,0,0,0,0,0.000619578686493185,0,0,0,0,0,0,0,0,0.0105328376703841,0.016728624535316,0.00743494423791822,0,0,0.00867410161090459,0.0136307311028501,0.0173482032218092,0,0,0.0297397769516729,0,0.268277571251549,0.0353159851301115,0.0923172242874845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",3075,"Klara",825,"3","juvenile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121212121212121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775757575757576,0,0.143030303030303,0,0.00727272727272727,0,0.0539393939393939,0,0,0,0,0.124242424242424,0,0.0121212121212121,0.0557575757575758,0.259393939393939,0.0242424242424242,0.0933333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2464,"Misha",662,"5","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00151057401812689,0,0,0,0,0,0,0,0,0,0.00151057401812689,0,0,0,0,0,0,0,0,0.006797583081571,0.000755287009063444,0.0120845921450151,0,0.0830815709969789,0,0.0377643504531722,0,0,0.0392749244712991,0.00528700906344411,0,0.317220543806647,0.0430513595166163,0.148036253776435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2258,"Misha",739,"4","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023680649526387,0,0,0,0,0,0,0,0,0,0.0013531799729364,0,0,0,0,0,0,0,0,0.0060893098782138,0.0514208389715832,0.0040595399188092,0,0.013531799729364,0,0,0.0189445196211096,0,0.047361299052774,0.0209742895805142,0,0.283491204330176,0.0480378890392422,0.125845737483085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",3825,"Misha",678,"6","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051622418879056,0,0,0,0,0,0.146017699115044,0.0162241887905605,0,0,0.03023598820059,0,0.307522123893805,0.0471976401179941,0.0110619469026549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",2391,"Misha",700,"4","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00357142857142857,0,0.00928571428571429,0,0,0,0.00142857142857143,0,0,0,0.0514285714285714,0,0.293571428571429,0.0664285714285714,0.109285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",3264,"Misha",603,"5","adol female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00995024875621891,0,0,0,0,0,0,0,0,0,0.0290215588723051,0,0,0,0,0,0,0,0,0.0190713101160862,0,0.00912106135986733,0,0,0,0.627694859038143,0,0,0.00829187396351575,0.00580431177446103,0,0.339137645107794,0.0621890547263682,0.0729684908789386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
